,dt,name,median_spores,prevalence_hi
489,22440,R4C2SM_MON,3.81657994223216E-06,0
490,22440,R5C1SK_MON,4.29102174134322E-06,0
491,22440,R5C2PM_MON,2.07718982220918E-06,0
492,22440,R6C1PK_MON,2.55905489014725E-06,0
493,22440,R6C2SM_MON,5.97210429140438E-06,0
494,22440,R7C1SK_MON,3.42821292121257E-06,0
495,22440,R7C2PM_MON,4.43525803398857E-06,0
496,22440,R8C1PL_MON,1.73615943646426E-05,0.02
497,22440,R8C2SL_MON,2.59099959883813E-06,0
498,22440,R9C1SL_MON,6.60815824906534E-06,0
499,22440,R9C2PL_MON,6.95096788373268E-07,0
500,22480,R10C1PL_MON,1.70201915181672E-05,0
501,22480,R10C2SL_MON,3.7317951951615E-06,0
502,22480,R1C1SK_MON,5.4008210323144E-06,0
503,22480,R1C2PM_MON,1.15624598411764E-06,0
504,22480,R2C1PK_MON,2.5604819092861E-06,0
505,22480,R2C2SM_MON,0,0
506,22480,R3C1SK_MON,2.73894553585881E-06,0
507,22480,R3C2PM_MON,2.46106588996459E-06,0
508,22480,R4C1PK_MON,3.84642256223308E-06,0
509,22480,R4C2SM_MON,1.14512258423552E-05,0
510,22480,R5C1SK_MON,5.06753579469524E-06,0
511,22480,R5C2PM_MON,2.53052773671018E-06,0
512,22480,R6C1PK_MON,1.67727188150474E-05,0
513,22480,R6C2SM_MON,1.40408934284863E-05,0
514,22480,R7C1SK_MON,4.07089146270636E-06,0
515,22480,R7C2PM_MON,5.63941843643585E-06,0
516,22480,R8C1PL_MON,1.8287813806505E-05,0.02
517,22480,R8C2SL_MON,3.06364555823595E-06,0
518,22480,R9C1SL_MON,2.13571422055422E-05,0
519,22480,R9C2PL_MON,9.57979639976488E-07,0
520,22520,R10C1PL_MON,1.77403482002031E-05,0
521,22520,R10C2SL_MON,4.44199779533636E-06,0
522,22520,R1C1SK_MON,6.7376098845887E-06,0
523,22520,R1C2PM_MON,1.37539620733674E-06,0
524,22520,R2C1PK_MON,3.10826174074816E-06,0
525,22520,R2C2SM_MON,4.77734696637133E-08,0
526,22520,R3C1SK_MON,3.12334466689778E-06,0
527,22520,R3C2PM_MON,2.99242987156771E-06,0
528,22520,R4C1PK_MON,4.47748797312208E-06,0
529,22520,R4C2SM_MON,1.89868580029448E-05,0
530,22520,R5C1SK_MON,6.20800813357712E-06,0
531,22520,R5C2PM_MON,3.05083529022387E-06,0
532,22520,R6C1PK_MON,1.73665632422375E-05,0
533,22520,R6C2SM_MON,4.24877980334036E-05,0
534,22520,R7C1SK_MON,1.78384352219805E-05,0
535,22520,R7C2PM_MON,2.23509735821105E-05,0
536,22520,R8C1PL_MON,2.59089021562403E-05,0.02
537,22520,R8C2SL_MON,3.81769012597577E-06,0
538,22520,R9C1SL_MON,5.65005074136561E-05,0
